Area|Ethnic group|Age group|Sex|Year|Value|Flags
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"55-59 years"|"Male"|"2018"|105888|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"55-59 years"|"Female"|"2018"|109227|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"55-59 years"|"Male"|"2018"|11736|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"55-59 years"|"Female"|"2018"|11883|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"55-59 years"|"Male"|"2018"|5727|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"55-59 years"|"Female"|"2018"|5862|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"55-59 years"|"Male"|"2018"|13059|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"55-59 years"|"Female"|"2018"|16128|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"55-59 years"|"Male"|"2018"|1125|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"55-59 years"|"Female"|"2018"|1029|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"55-59 years"|"Male"|"2018"|2406|
"Total - New Zealand by District Health Board"|"Four to six groups"|"30-34 years"|"Male"|"2018"|51|
"Total - New Zealand by District Health Board"|"Four to six groups"|"30-34 years"|"Female"|"2018"|54|
"Total - New Zealand by Regional Council/SA2"|"European only"|"40-44 years"|"Male"|"2018"|84219|
"Total - New Zealand by Regional Council/SA2"|"European only"|"40-44 years"|"Female"|"2018"|89901|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"40-44 years"|"Male"|"2018"|11091|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"40-44 years"|"Female"|"2018"|10644|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"40-44 years"|"Male"|"2018"|7728|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"40-44 years"|"Female"|"2018"|7590|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"40-44 years"|"Male"|"2018"|21492|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"40-44 years"|"Female"|"2018"|23949|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"40-44 years"|"Male"|"2018"|2367|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"40-44 years"|"Female"|"2018"|2250|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"40-44 years"|"Male"|"2018"|2316|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"40-44 years"|"Female"|"2018"|1512|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"40-44 years"|"Male"|"2018"|8265|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"40-44 years"|"Female"|"2018"|10491|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"40-44 years"|"Male"|"2018"|501|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"40-44 years"|"Female"|"2018"|570|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"40-44 years"|"Male"|"2018"|1194|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"40-44 years"|"Female"|"2018"|1377|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"40-44 years"|"Male"|"2018"|432|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"40-44 years"|"Female"|"2018"|519|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"40-44 years"|"Male"|"2018"|756|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"40-44 years"|"Female"|"2018"|780|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"40-44 years"|"Male"|"2018"|327|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"40-44 years"|"Female"|"2018"|411|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"40-44 years"|"Male"|"2018"|249|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"40-44 years"|"Female"|"2018"|315|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"40-44 years"|"Male"|"2018"|57|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"40-44 years"|"Female"|"2018"|36|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"40-44 years"|"Male"|"2018"|84219|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"40-44 years"|"Female"|"2018"|89901|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"40-44 years"|"Male"|"2018"|11091|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"40-44 years"|"Female"|"2018"|10644|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"40-44 years"|"Male"|"2018"|7728|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"40-44 years"|"Female"|"2018"|7590|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"40-44 years"|"Male"|"2018"|21492|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"40-44 years"|"Female"|"2018"|23949|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"40-44 years"|"Male"|"2018"|2367|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"40-44 years"|"Female"|"2018"|2250|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"40-44 years"|"Male"|"2018"|2316|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"40-44 years"|"Female"|"2018"|1512|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"40-44 years"|"Male"|"2018"|8265|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"40-44 years"|"Female"|"2018"|10491|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"40-44 years"|"Male"|"2018"|501|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"40-44 years"|"Female"|"2018"|570|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"40-44 years"|"Male"|"2018"|1194|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"40-44 years"|"Female"|"2018"|1377|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"40-44 years"|"Male"|"2018"|432|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"40-44 years"|"Female"|"2018"|519|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"40-44 years"|"Male"|"2018"|756|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"40-44 years"|"Female"|"2018"|780|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"40-44 years"|"Male"|"2018"|327|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"40-44 years"|"Female"|"2018"|411|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"40-44 years"|"Male"|"2018"|249|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"40-44 years"|"Female"|"2018"|315|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"40-44 years"|"Male"|"2018"|57|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"40-44 years"|"Female"|"2018"|36|
"Total - New Zealand by District Health Board"|"European only"|"40-44 years"|"Male"|"2018"|84219|
"Total - New Zealand by District Health Board"|"European only"|"40-44 years"|"Female"|"2018"|89901|
"Total - New Zealand by District Health Board"|"Maori only"|"40-44 years"|"Male"|"2018"|11091|
"Total - New Zealand by District Health Board"|"Maori only"|"40-44 years"|"Female"|"2018"|10644|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"40-44 years"|"Male"|"2018"|7728|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"40-44 years"|"Female"|"2018"|7590|
"Total - New Zealand by District Health Board"|"Asian only"|"40-44 years"|"Male"|"2018"|21492|
"Total - New Zealand by District Health Board"|"Asian only"|"40-44 years"|"Female"|"2018"|23949|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"40-44 years"|"Male"|"2018"|2367|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"40-44 years"|"Female"|"2018"|2250|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"40-44 years"|"Male"|"2018"|2316|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"40-44 years"|"Female"|"2018"|1512|
"Total - New Zealand by District Health Board"|"Maori/European"|"40-44 years"|"Male"|"2018"|8265|
"Total - New Zealand by District Health Board"|"Maori/European"|"40-44 years"|"Female"|"2018"|10491|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"40-44 years"|"Male"|"2018"|501|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"40-44 years"|"Female"|"2018"|570|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"40-44 years"|"Male"|"2018"|1194|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"40-44 years"|"Female"|"2018"|1377|
"Total - New Zealand by District Health Board"|"Asian/European"|"40-44 years"|"Male"|"2018"|432|
"Total - New Zealand by District Health Board"|"Asian/European"|"40-44 years"|"Female"|"2018"|519|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"40-44 years"|"Male"|"2018"|756|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"40-44 years"|"Female"|"2018"|780|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"40-44 years"|"Male"|"2018"|327|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"40-44 years"|"Female"|"2018"|411|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"40-44 years"|"Male"|"2018"|249|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"55-59 years"|"Female"|"2018"|1797|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"55-59 years"|"Male"|"2018"|5637|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"55-59 years"|"Female"|"2018"|7275|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"55-59 years"|"Male"|"2018"|219|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"55-59 years"|"Female"|"2018"|228|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"55-59 years"|"Male"|"2018"|609|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"55-59 years"|"Female"|"2018"|771|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"55-59 years"|"Male"|"2018"|192|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"55-59 years"|"Female"|"2018"|243|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"55-59 years"|"Male"|"2018"|480|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"55-59 years"|"Female"|"2018"|516|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"55-59 years"|"Male"|"2018"|141|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"55-59 years"|"Female"|"2018"|159|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"55-59 years"|"Male"|"2018"|141|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"55-59 years"|"Female"|"2018"|183|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"55-59 years"|"Male"|"2018"|51|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"55-59 years"|"Female"|"2018"|33|
"Total - New Zealand by District Health Board"|"European only"|"55-59 years"|"Male"|"2018"|105888|
"Total - New Zealand by District Health Board"|"European only"|"55-59 years"|"Female"|"2018"|109227|
"Total - New Zealand by District Health Board"|"Maori only"|"55-59 years"|"Male"|"2018"|11736|
"Total - New Zealand by District Health Board"|"Maori only"|"55-59 years"|"Female"|"2018"|11883|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"55-59 years"|"Male"|"2018"|5727|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"55-59 years"|"Female"|"2018"|5862|
"Total - New Zealand by District Health Board"|"Asian only"|"55-59 years"|"Male"|"2018"|13059|
"Total - New Zealand by District Health Board"|"Asian only"|"55-59 years"|"Female"|"2018"|16128|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"55-59 years"|"Male"|"2018"|1125|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"55-59 years"|"Female"|"2018"|1029|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"55-59 years"|"Male"|"2018"|2406|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"55-59 years"|"Female"|"2018"|1797|
"Total - New Zealand by District Health Board"|"Maori/European"|"55-59 years"|"Male"|"2018"|5637|
"Total - New Zealand by District Health Board"|"Maori/European"|"55-59 years"|"Female"|"2018"|7275|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"55-59 years"|"Male"|"2018"|219|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"55-59 years"|"Female"|"2018"|228|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"55-59 years"|"Male"|"2018"|609|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"55-59 years"|"Female"|"2018"|771|
"Total - New Zealand by District Health Board"|"Asian/European"|"55-59 years"|"Male"|"2018"|192|
"Total - New Zealand by District Health Board"|"Asian/European"|"55-59 years"|"Female"|"2018"|243|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"55-59 years"|"Male"|"2018"|480|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"55-59 years"|"Female"|"2018"|516|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"55-59 years"|"Male"|"2018"|141|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"55-59 years"|"Female"|"2018"|159|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"40-44 years"|"Female"|"2018"|315|
"Total - New Zealand by District Health Board"|"Four to six groups"|"40-44 years"|"Male"|"2018"|57|
"Total - New Zealand by District Health Board"|"Four to six groups"|"40-44 years"|"Female"|"2018"|36|
"Total - New Zealand by Regional Council/SA2"|"European only"|"50-54 years"|"Male"|"2018"|101913|
"Total - New Zealand by Regional Council/SA2"|"European only"|"50-54 years"|"Female"|"2018"|105693|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"50-54 years"|"Male"|"2018"|12693|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"50-54 years"|"Female"|"2018"|12126|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"50-54 years"|"Male"|"2018"|7383|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"50-54 years"|"Female"|"2018"|7482|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"50-54 years"|"Male"|"2018"|15546|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"50-54 years"|"Female"|"2018"|18648|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"50-54 years"|"Male"|"2018"|1482|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"50-54 years"|"Female"|"2018"|1344|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"50-54 years"|"Male"|"2018"|2490|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"50-54 years"|"Female"|"2018"|1842|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"50-54 years"|"Male"|"2018"|6567|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"50-54 years"|"Female"|"2018"|8301|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"50-54 years"|"Male"|"2018"|267|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"50-54 years"|"Female"|"2018"|300|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"50-54 years"|"Male"|"2018"|819|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"50-54 years"|"Female"|"2018"|966|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"50-54 years"|"Male"|"2018"|270|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"50-54 years"|"Female"|"2018"|288|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"50-54 years"|"Male"|"2018"|597|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"50-54 years"|"Female"|"2018"|630|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"50-54 years"|"Male"|"2018"|174|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"50-54 years"|"Female"|"2018"|231|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"50-54 years"|"Male"|"2018"|204|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"50-54 years"|"Female"|"2018"|249|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"50-54 years"|"Male"|"2018"|48|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"50-54 years"|"Female"|"2018"|36|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"50-54 years"|"Male"|"2018"|101913|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"50-54 years"|"Female"|"2018"|105693|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"50-54 years"|"Male"|"2018"|12693|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"50-54 years"|"Female"|"2018"|12126|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"50-54 years"|"Male"|"2018"|7383|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"50-54 years"|"Female"|"2018"|7482|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"50-54 years"|"Male"|"2018"|15546|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"50-54 years"|"Female"|"2018"|18648|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"50-54 years"|"Male"|"2018"|1482|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"50-54 years"|"Female"|"2018"|1344|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"50-54 years"|"Male"|"2018"|2490|
"Total - New Zealand by Territorial Authority/SA2"|"Other Ethnicity only"|"50-54 years"|"Female"|"2018"|1842|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"50-54 years"|"Male"|"2018"|6567|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/European"|"50-54 years"|"Female"|"2018"|8301|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"50-54 years"|"Male"|"2018"|267|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples"|"50-54 years"|"Female"|"2018"|300|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"50-54 years"|"Male"|"2018"|819|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples/European"|"50-54 years"|"Female"|"2018"|966|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"50-54 years"|"Male"|"2018"|270|
"Total - New Zealand by Territorial Authority/SA2"|"Asian/European"|"50-54 years"|"Female"|"2018"|288|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"50-54 years"|"Male"|"2018"|597|
"Total - New Zealand by Territorial Authority/SA2"|"Two groups not elsewhere included"|"50-54 years"|"Female"|"2018"|630|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"50-54 years"|"Male"|"2018"|174|
"Total - New Zealand by Territorial Authority/SA2"|"Maori/Pacific Peoples/European"|"50-54 years"|"Female"|"2018"|231|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"50-54 years"|"Male"|"2018"|204|
"Total - New Zealand by Territorial Authority/SA2"|"Three groups not elsewhere included"|"50-54 years"|"Female"|"2018"|249|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"50-54 years"|"Male"|"2018"|48|
"Total - New Zealand by Territorial Authority/SA2"|"Four to six groups"|"50-54 years"|"Female"|"2018"|36|
"Total - New Zealand by District Health Board"|"European only"|"50-54 years"|"Male"|"2018"|101913|
"Total - New Zealand by District Health Board"|"European only"|"50-54 years"|"Female"|"2018"|105693|
"Total - New Zealand by District Health Board"|"Maori only"|"50-54 years"|"Male"|"2018"|12693|
"Total - New Zealand by District Health Board"|"Maori only"|"50-54 years"|"Female"|"2018"|12126|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"50-54 years"|"Male"|"2018"|7383|
"Total - New Zealand by District Health Board"|"Pacific Peoples only"|"50-54 years"|"Female"|"2018"|7482|
"Total - New Zealand by District Health Board"|"Asian only"|"50-54 years"|"Male"|"2018"|15546|
"Total - New Zealand by District Health Board"|"Asian only"|"50-54 years"|"Female"|"2018"|18648|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"50-54 years"|"Male"|"2018"|1482|
"Total - New Zealand by District Health Board"|"Middle Eastern/Latin American/African only"|"50-54 years"|"Female"|"2018"|1344|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"50-54 years"|"Male"|"2018"|2490|
"Total - New Zealand by District Health Board"|"Other Ethnicity only"|"50-54 years"|"Female"|"2018"|1842|
"Total - New Zealand by District Health Board"|"Maori/European"|"50-54 years"|"Male"|"2018"|6567|
"Total - New Zealand by District Health Board"|"Maori/European"|"50-54 years"|"Female"|"2018"|8301|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"50-54 years"|"Male"|"2018"|267|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples"|"50-54 years"|"Female"|"2018"|300|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"50-54 years"|"Male"|"2018"|819|
"Total - New Zealand by District Health Board"|"Pacific Peoples/European"|"50-54 years"|"Female"|"2018"|966|
"Total - New Zealand by District Health Board"|"Asian/European"|"50-54 years"|"Male"|"2018"|270|
"Total - New Zealand by District Health Board"|"Asian/European"|"50-54 years"|"Female"|"2018"|288|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"50-54 years"|"Male"|"2018"|597|
"Total - New Zealand by District Health Board"|"Two groups not elsewhere included"|"50-54 years"|"Female"|"2018"|630|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"50-54 years"|"Male"|"2018"|174|
"Total - New Zealand by District Health Board"|"Maori/Pacific Peoples/European"|"50-54 years"|"Female"|"2018"|231|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"55-59 years"|"Male"|"2018"|141|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"55-59 years"|"Female"|"2018"|183|
"Total - New Zealand by District Health Board"|"Four to six groups"|"55-59 years"|"Male"|"2018"|51|
"Total - New Zealand by District Health Board"|"Four to six groups"|"55-59 years"|"Female"|"2018"|33|
"Total - New Zealand by Regional Council/SA2"|"European only"|"65-69 years"|"Male"|"2018"|87930|
"Total - New Zealand by Regional Council/SA2"|"European only"|"65-69 years"|"Female"|"2018"|91065|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"65-69 years"|"Male"|"2018"|6657|
"Total - New Zealand by Regional Council/SA2"|"Maori only"|"65-69 years"|"Female"|"2018"|6825|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"65-69 years"|"Male"|"2018"|3474|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples only"|"65-69 years"|"Female"|"2018"|3579|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"65-69 years"|"Male"|"2018"|8607|
"Total - New Zealand by Regional Council/SA2"|"Asian only"|"65-69 years"|"Female"|"2018"|9582|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"65-69 years"|"Male"|"2018"|537|
"Total - New Zealand by Regional Council/SA2"|"Middle Eastern/Latin American/African only"|"65-69 years"|"Female"|"2018"|423|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"65-69 years"|"Male"|"2018"|1251|
"Total - New Zealand by Regional Council/SA2"|"Other Ethnicity only"|"65-69 years"|"Female"|"2018"|909|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"65-69 years"|"Male"|"2018"|2790|
"Total - New Zealand by Regional Council/SA2"|"Maori/European"|"65-69 years"|"Female"|"2018"|3576|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"65-69 years"|"Male"|"2018"|54|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples"|"65-69 years"|"Female"|"2018"|75|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"65-69 years"|"Male"|"2018"|255|
"Total - New Zealand by Regional Council/SA2"|"Pacific Peoples/European"|"65-69 years"|"Female"|"2018"|306|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"65-69 years"|"Male"|"2018"|99|
"Total - New Zealand by Regional Council/SA2"|"Asian/European"|"65-69 years"|"Female"|"2018"|114|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"65-69 years"|"Male"|"2018"|285|
"Total - New Zealand by Regional Council/SA2"|"Two groups not elsewhere included"|"65-69 years"|"Female"|"2018"|312|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"65-69 years"|"Male"|"2018"|48|
"Total - New Zealand by Regional Council/SA2"|"Maori/Pacific Peoples/European"|"65-69 years"|"Female"|"2018"|69|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"65-69 years"|"Male"|"2018"|75|
"Total - New Zealand by Regional Council/SA2"|"Three groups not elsewhere included"|"65-69 years"|"Female"|"2018"|87|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"65-69 years"|"Male"|"2018"|30|
"Total - New Zealand by Regional Council/SA2"|"Four to six groups"|"65-69 years"|"Female"|"2018"|18|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"65-69 years"|"Male"|"2018"|87930|
"Total - New Zealand by Territorial Authority/SA2"|"European only"|"65-69 years"|"Female"|"2018"|91065|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"65-69 years"|"Male"|"2018"|6657|
"Total - New Zealand by Territorial Authority/SA2"|"Maori only"|"65-69 years"|"Female"|"2018"|6825|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"65-69 years"|"Male"|"2018"|3474|
"Total - New Zealand by Territorial Authority/SA2"|"Pacific Peoples only"|"65-69 years"|"Female"|"2018"|3579|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"65-69 years"|"Male"|"2018"|8607|
"Total - New Zealand by Territorial Authority/SA2"|"Asian only"|"65-69 years"|"Female"|"2018"|9582|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"65-69 years"|"Male"|"2018"|537|
"Total - New Zealand by Territorial Authority/SA2"|"Middle Eastern/Latin American/African only"|"65-69 years"|"Female"|"2018"|423|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"50-54 years"|"Male"|"2018"|204|
"Total - New Zealand by District Health Board"|"Three groups not elsewhere included"|"50-54 years"|"Female"|"2018"|249|
