Area|Religious affiliation|Age group|Sex|Year|Value|Flags
"Palmerston North City"|"Object to answering"|"10-14 years"|"Male"|"2018"|180|
"Palmerston North City"|"Object to answering"|"10-14 years"|"Female"|"2018"|168|
"Tararua District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|216|
"Tararua District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|216|
"Tararua District"|"No religion"|"10-14 years"|"Male"|"2018"|408|
"Tararua District"|"No religion"|"10-14 years"|"Female"|"2018"|393|
"Tararua District"|"Object to answering"|"10-14 years"|"Male"|"2018"|57|
"Tararua District"|"Object to answering"|"10-14 years"|"Female"|"2018"|48|
"Horowhenua District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|330|
"Horowhenua District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|321|
"Horowhenua District"|"No religion"|"10-14 years"|"Male"|"2018"|666|
"Horowhenua District"|"No religion"|"10-14 years"|"Female"|"2018"|642|
"Horowhenua District"|"Object to answering"|"10-14 years"|"Male"|"2018"|78|
"Horowhenua District"|"Object to answering"|"10-14 years"|"Female"|"2018"|69|
"Kapiti Coast District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|411|
"Kapiti Coast District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|492|
"Kapiti Coast District"|"No religion"|"10-14 years"|"Male"|"2018"|1059|
"Kapiti Coast District"|"No religion"|"10-14 years"|"Female"|"2018"|1071|
"Kapiti Coast District"|"Object to answering"|"10-14 years"|"Male"|"2018"|111|
"Kapiti Coast District"|"Object to answering"|"10-14 years"|"Female"|"2018"|117|
"Porirua City"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|1023|
"Porirua City"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|1023|
"Porirua City"|"No religion"|"10-14 years"|"Male"|"2018"|1014|
"Porirua City"|"No religion"|"10-14 years"|"Female"|"2018"|981|
"Porirua City"|"Object to answering"|"10-14 years"|"Male"|"2018"|135|
"Porirua City"|"Object to answering"|"10-14 years"|"Female"|"2018"|123|
"Upper Hutt City"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|666|
"Upper Hutt City"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|534|
"Upper Hutt City"|"No religion"|"10-14 years"|"Male"|"2018"|732|
"Upper Hutt City"|"No religion"|"10-14 years"|"Female"|"2018"|675|
"Upper Hutt City"|"Object to answering"|"10-14 years"|"Male"|"2018"|96|
"Upper Hutt City"|"Object to answering"|"10-14 years"|"Female"|"2018"|87|
"Lower Hutt City"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|1560|
"Lower Hutt City"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|1479|
"Lower Hutt City"|"No religion"|"10-14 years"|"Male"|"2018"|1704|
"Lower Hutt City"|"No religion"|"10-14 years"|"Female"|"2018"|1653|
"Lower Hutt City"|"Object to answering"|"10-14 years"|"Male"|"2018"|174|
"Lower Hutt City"|"Object to answering"|"10-14 years"|"Female"|"2018"|180|
"Wellington City"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|2364|
"Wellington City"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|2253|
"Wellington City"|"No religion"|"10-14 years"|"Male"|"2018"|3090|
"Wellington City"|"No religion"|"10-14 years"|"Female"|"2018"|2946|
"Wellington City"|"Object to answering"|"10-14 years"|"Male"|"2018"|288|
"Wellington City"|"Object to answering"|"10-14 years"|"Female"|"2018"|252|
"Masterton District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|273|
"Masterton District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|321|
"Masterton District"|"No religion"|"10-14 years"|"Male"|"2018"|516|
"Masterton District"|"No religion"|"10-14 years"|"Female"|"2018"|495|
"Masterton District"|"Object to answering"|"10-14 years"|"Male"|"2018"|63|
"Masterton District"|"Object to answering"|"10-14 years"|"Female"|"2018"|54|
"Carterton District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|102|
"Carterton District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|90|
"Carterton District"|"No religion"|"10-14 years"|"Male"|"2018"|180|
"Carterton District"|"No religion"|"10-14 years"|"Female"|"2018"|213|
"Carterton District"|"Object to answering"|"10-14 years"|"Male"|"2018"|15|
"Carterton District"|"Object to answering"|"10-14 years"|"Female"|"2018"|18|
"South Wairarapa District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|111|
"South Wairarapa District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|96|
"South Wairarapa District"|"No religion"|"10-14 years"|"Male"|"2018"|225|
"South Wairarapa District"|"No religion"|"10-14 years"|"Female"|"2018"|180|
"South Wairarapa District"|"Object to answering"|"10-14 years"|"Male"|"2018"|21|
"South Wairarapa District"|"Object to answering"|"10-14 years"|"Female"|"2018"|12|
"Tasman District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|453|
"Tasman District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|474|
"Tasman District"|"No religion"|"10-14 years"|"Male"|"2018"|1290|
"Tasman District"|"No religion"|"10-14 years"|"Female"|"2018"|1242|
"Tasman District"|"Object to answering"|"10-14 years"|"Male"|"2018"|126|
"Tasman District"|"Object to answering"|"10-14 years"|"Female"|"2018"|135|
"Nelson City"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|489|
"Nelson City"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|441|
"Nelson City"|"No religion"|"10-14 years"|"Male"|"2018"|1008|
"Nelson City"|"No religion"|"10-14 years"|"Female"|"2018"|954|
"Nelson City"|"Object to answering"|"10-14 years"|"Male"|"2018"|90|
"Nelson City"|"Object to answering"|"10-14 years"|"Female"|"2018"|105|
"Marlborough District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|348|
"Marlborough District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|339|
"Marlborough District"|"No religion"|"10-14 years"|"Male"|"2018"|990|
"Marlborough District"|"No religion"|"10-14 years"|"Female"|"2018"|876|
"Marlborough District"|"Object to answering"|"10-14 years"|"Male"|"2018"|84|
"Marlborough District"|"Object to answering"|"10-14 years"|"Female"|"2018"|75|
"Kaikoura District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|45|
"Kaikoura District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|30|
"Kaikoura District"|"No religion"|"10-14 years"|"Male"|"2018"|60|
"Kaikoura District"|"No religion"|"10-14 years"|"Female"|"2018"|48|
"Kaikoura District"|"Object to answering"|"10-14 years"|"Male"|"2018"|3|
"Kaikoura District"|"Object to answering"|"10-14 years"|"Female"|"2018"|3|
"Buller District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|81|
"Buller District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|72|
"Buller District"|"No religion"|"10-14 years"|"Male"|"2018"|183|
"Buller District"|"No religion"|"10-14 years"|"Female"|"2018"|165|
"Buller District"|"Object to answering"|"10-14 years"|"Male"|"2018"|24|
"Buller District"|"Object to answering"|"10-14 years"|"Female"|"2018"|18|
"Grey District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|165|
"Grey District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|138|
"Grey District"|"No religion"|"10-14 years"|"Male"|"2018"|273|
"Grey District"|"No religion"|"10-14 years"|"Female"|"2018"|198|
"Grey District"|"Object to answering"|"10-14 years"|"Male"|"2018"|33|
"Grey District"|"Object to answering"|"10-14 years"|"Female"|"2018"|18|
"Westland District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|78|
"Westland District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|99|
"Westland District"|"No religion"|"10-14 years"|"Male"|"2018"|147|
"Westland District"|"No religion"|"10-14 years"|"Female"|"2018"|126|
"Westland District"|"Object to answering"|"10-14 years"|"Male"|"2018"|15|
"Westland District"|"Object to answering"|"10-14 years"|"Female"|"2018"|18|
"Hurunui District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|117|
"Hurunui District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|135|
"Hurunui District"|"No religion"|"10-14 years"|"Male"|"2018"|258|
"Hurunui District"|"No religion"|"10-14 years"|"Female"|"2018"|255|
"Hurunui District"|"Object to answering"|"10-14 years"|"Male"|"2018"|27|
"Hurunui District"|"Object to answering"|"10-14 years"|"Female"|"2018"|33|
"Waimakariri District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|657|
"Waimakariri District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|654|
"Waimakariri District"|"No religion"|"10-14 years"|"Male"|"2018"|1314|
"Waimakariri District"|"No religion"|"10-14 years"|"Female"|"2018"|1272|
"Waimakariri District"|"Object to answering"|"10-14 years"|"Male"|"2018"|108|
"Waimakariri District"|"Object to answering"|"10-14 years"|"Female"|"2018"|123|
"Christchurch City"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|4098|
"Christchurch City"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|4020|
"Christchurch City"|"No religion"|"10-14 years"|"Male"|"2018"|6117|
"Christchurch City"|"No religion"|"10-14 years"|"Female"|"2018"|5658|
"Christchurch City"|"Object to answering"|"10-14 years"|"Male"|"2018"|558|
"Christchurch City"|"Object to answering"|"10-14 years"|"Female"|"2018"|504|
"Selwyn District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|762|
"Selwyn District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|780|
"Selwyn District"|"No religion"|"10-14 years"|"Male"|"2018"|1485|
"Selwyn District"|"No religion"|"10-14 years"|"Female"|"2018"|1422|
"Selwyn District"|"Object to answering"|"10-14 years"|"Male"|"2018"|129|
"Selwyn District"|"Object to answering"|"10-14 years"|"Female"|"2018"|141|
"Ashburton District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|459|
"Ashburton District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|411|
"Ashburton District"|"No religion"|"10-14 years"|"Male"|"2018"|597|
"Ashburton District"|"No religion"|"10-14 years"|"Female"|"2018"|579|
"Ashburton District"|"Object to answering"|"10-14 years"|"Male"|"2018"|57|
"Ashburton District"|"Object to answering"|"10-14 years"|"Female"|"2018"|57|
"Timaru District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|453|
"Timaru District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|501|
"Timaru District"|"No religion"|"10-14 years"|"Male"|"2018"|873|
"Timaru District"|"No religion"|"10-14 years"|"Female"|"2018"|798|
"Timaru District"|"Object to answering"|"10-14 years"|"Male"|"2018"|111|
"Timaru District"|"Object to answering"|"10-14 years"|"Female"|"2018"|84|
"Mackenzie District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|51|
"Mackenzie District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|39|
"Mackenzie District"|"No religion"|"10-14 years"|"Male"|"2018"|96|
"Mackenzie District"|"No religion"|"10-14 years"|"Female"|"2018"|60|
"Mackenzie District"|"Object to answering"|"10-14 years"|"Male"|"2018"|12|
"Mackenzie District"|"Object to answering"|"10-14 years"|"Female"|"2018"|6|
"Waimate District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|69|
"Waimate District"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"|69|
"Waimate District"|"No religion"|"10-14 years"|"Male"|"2018"|153|
"Waimate District"|"No religion"|"10-14 years"|"Female"|"2018"|165|
"Waimate District"|"Object to answering"|"10-14 years"|"Male"|"2018"|15|
"Waimate District"|"Object to answering"|"10-14 years"|"Female"|"2018"|21|
"Chatham Islands Territory"|"Total people - with at least one religious affiliation"|"10-14 years"|"Male"|"2018"|6|
"Chatham Islands Territory"|"Total people - with at least one religious affiliation"|"10-14 years"|"Female"|"2018"||c
"Waitaki District"|"Object to answering"|"80-84 years"|"Male"|"2018"|24|
"Waitaki District"|"Object to answering"|"80-84 years"|"Female"|"2018"|18|
"Central Otago District"|"Total people - with at least one religious affiliation"|"80-84 years"|"Male"|"2018"|174|
"Central Otago District"|"Total people - with at least one religious affiliation"|"80-84 years"|"Female"|"2018"|210|
"Central Otago District"|"No religion"|"80-84 years"|"Male"|"2018"|66|
"Central Otago District"|"No religion"|"80-84 years"|"Female"|"2018"|51|
"Central Otago District"|"Object to answering"|"80-84 years"|"Male"|"2018"|21|
"Central Otago District"|"Object to answering"|"80-84 years"|"Female"|"2018"|15|
"Queenstown-Lakes District"|"Total people - with at least one religious affiliation"|"80-84 years"|"Male"|"2018"|126|
"Queenstown-Lakes District"|"Total people - with at least one religious affiliation"|"80-84 years"|"Female"|"2018"|138|
"Queenstown-Lakes District"|"No religion"|"80-84 years"|"Male"|"2018"|60|
"Queenstown-Lakes District"|"No religion"|"80-84 years"|"Female"|"2018"|45|
"Queenstown-Lakes District"|"Object to answering"|"80-84 years"|"Male"|"2018"|12|
"Queenstown-Lakes District"|"Object to answering"|"80-84 years"|"Female"|"2018"|12|
"Dunedin City"|"Total people - with at least one religious affiliation"|"80-84 years"|"Male"|"2018"|684|
"Dunedin City"|"Total people - with at least one religious affiliation"|"80-84 years"|"Female"|"2018"|1095|
"Dunedin City"|"No religion"|"80-84 years"|"Male"|"2018"|324|
"Dunedin City"|"No religion"|"80-84 years"|"Female"|"2018"|258|
"Dunedin City"|"Object to answering"|"80-84 years"|"Male"|"2018"|108|
"Dunedin City"|"Object to answering"|"80-84 years"|"Female"|"2018"|120|
"Clutha District"|"Total people - with at least one religious affiliation"|"80-84 years"|"Male"|"2018"|102|
"Clutha District"|"Total people - with at least one religious affiliation"|"80-84 years"|"Female"|"2018"|138|
"Clutha District"|"No religion"|"80-84 years"|"Male"|"2018"|45|
"Clutha District"|"No religion"|"80-84 years"|"Female"|"2018"|33|
"Clutha District"|"Object to answering"|"80-84 years"|"Male"|"2018"|18|
"Clutha District"|"Object to answering"|"80-84 years"|"Female"|"2018"|18|
"Southland District"|"Total people - with at least one religious affiliation"|"80-84 years"|"Male"|"2018"|168|
"Southland District"|"Total people - with at least one religious affiliation"|"80-84 years"|"Female"|"2018"|174|
"Southland District"|"No religion"|"80-84 years"|"Male"|"2018"|63|
"Southland District"|"No religion"|"80-84 years"|"Female"|"2018"|30|
"Southland District"|"Object to answering"|"80-84 years"|"Male"|"2018"|21|
"Southland District"|"Object to answering"|"80-84 years"|"Female"|"2018"|9|
"Gore District"|"Total people - with at least one religious affiliation"|"80-84 years"|"Male"|"2018"|96|
"Gore District"|"Total people - with at least one religious affiliation"|"80-84 years"|"Female"|"2018"|189|
"Gore District"|"No religion"|"80-84 years"|"Male"|"2018"|33|
"Gore District"|"No religion"|"80-84 years"|"Female"|"2018"|30|
"Gore District"|"Object to answering"|"80-84 years"|"Male"|"2018"|12|
"Gore District"|"Object to answering"|"80-84 years"|"Female"|"2018"|9|
"Invercargill City"|"Total people - with at least one religious affiliation"|"80-84 years"|"Male"|"2018"|363|
"Invercargill City"|"Total people - with at least one religious affiliation"|"80-84 years"|"Female"|"2018"|582|
"Invercargill City"|"No religion"|"80-84 years"|"Male"|"2018"|129|
"Invercargill City"|"No religion"|"80-84 years"|"Female"|"2018"|96|
"Invercargill City"|"Object to answering"|"80-84 years"|"Male"|"2018"|54|
"Invercargill City"|"Object to answering"|"80-84 years"|"Female"|"2018"|72|
"Total - Territorial Authority areas"|"Total people - with at least one religious affiliation"|"80-84 years"|"Male"|"2018"|23643|
"Total - Territorial Authority areas"|"Total people - with at least one religious affiliation"|"80-84 years"|"Female"|"2018"|34248|
"Total - Territorial Authority areas"|"No religion"|"80-84 years"|"Male"|"2018"|11007|
"Total - Territorial Authority areas"|"No religion"|"80-84 years"|"Female"|"2018"|9015|
"Total - Territorial Authority areas"|"Object to answering"|"80-84 years"|"Male"|"2018"|3390|
"Total - Territorial Authority areas"|"Object to answering"|"80-84 years"|"Female"|"2018"|4056|
"Area Outside Territorial Authority"|"Total people - with at least one religious affiliation"|"80-84 years"|"Male"|"2018"||c
"Area Outside Territorial Authority"|"Total people - with at least one religious affiliation"|"80-84 years"|"Female"|"2018"||c
"Area Outside Territorial Authority"|"No religion"|"80-84 years"|"Male"|"2018"||c
"Area Outside Territorial Authority"|"No religion"|"80-84 years"|"Female"|"2018"||c
"Area Outside Territorial Authority"|"Object to answering"|"80-84 years"|"Male"|"2018"||c
"Area Outside Territorial Authority"|"Object to answering"|"80-84 years"|"Female"|"2018"||c
"Far North District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|177|
"Far North District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|300|
"Far North District"|"No religion"|"85-89 years"|"Male"|"2018"|108|
"Far North District"|"No religion"|"85-89 years"|"Female"|"2018"|75|
"Far North District"|"Object to answering"|"85-89 years"|"Male"|"2018"|24|
"Far North District"|"Object to answering"|"85-89 years"|"Female"|"2018"|30|
"Whangarei District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|336|
"Whangarei District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|531|
"Whangarei District"|"No religion"|"85-89 years"|"Male"|"2018"|153|
"Whangarei District"|"No religion"|"85-89 years"|"Female"|"2018"|135|
"Whangarei District"|"Object to answering"|"85-89 years"|"Male"|"2018"|69|
"Whangarei District"|"Object to answering"|"85-89 years"|"Female"|"2018"|69|
"Kaipara District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|81|
"Kaipara District"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|111|
"Kaipara District"|"No religion"|"85-89 years"|"Male"|"2018"|24|
"Kaipara District"|"No religion"|"85-89 years"|"Female"|"2018"|18|
"Kaipara District"|"Object to answering"|"85-89 years"|"Male"|"2018"|15|
"Kaipara District"|"Object to answering"|"85-89 years"|"Female"|"2018"|12|
"Auckland"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|3507|
"Auckland"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|6084|
"Auckland"|"No religion"|"85-89 years"|"Male"|"2018"|1662|
"Auckland"|"No religion"|"85-89 years"|"Female"|"2018"|1644|
"Auckland"|"Object to answering"|"85-89 years"|"Male"|"2018"|414|
"Auckland"|"Object to answering"|"85-89 years"|"Female"|"2018"|615|
"Rodney Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|162|
"Rodney Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|228|
"Rodney Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|96|
"Rodney Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|84|
"Rodney Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|27|
"Rodney Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|33|
"Hibiscus and Bays Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|378|
"Hibiscus and Bays Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|642|
"Hibiscus and Bays Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|210|
"Hibiscus and Bays Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|165|
"Hibiscus and Bays Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|45|
"Hibiscus and Bays Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|66|
"Upper Harbour Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|168|
"Upper Harbour Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|279|
"Upper Harbour Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|78|
"Upper Harbour Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|93|
"Upper Harbour Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|15|
"Upper Harbour Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|24|
"Kaipatiki Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|183|
"Kaipatiki Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|297|
"Kaipatiki Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|93|
"Kaipatiki Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|93|
"Kaipatiki Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|21|
"Kaipatiki Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|33|
"Devonport-Takapuna Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|195|
"Devonport-Takapuna Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|345|
"Devonport-Takapuna Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|102|
"Devonport-Takapuna Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|96|
"Devonport-Takapuna Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|24|
"Devonport-Takapuna Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|30|
"Henderson-Massey Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|258|
"Henderson-Massey Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|426|
"Henderson-Massey Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|108|
"Henderson-Massey Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|114|
"Henderson-Massey Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|24|
"Henderson-Massey Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|39|
"Waitakere Ranges Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|75|
"Waitakere Ranges Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|105|
"Waitakere Ranges Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|45|
"Waitakere Ranges Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|36|
"Waitakere Ranges Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|15|
"Waitakere Ranges Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|15|
"Great Barrier Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"||c
"Great Barrier Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"||c
"Great Barrier Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"||c
"Great Barrier Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"||c
"Great Barrier Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"||c
"Great Barrier Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"||c
"Waiheke Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|18|
"Waiheke Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|21|
"Waiheke Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|15|
"Waiheke Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|15|
"Waiheke Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|3|
"Waiheke Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|3|
"Waitemata Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|84|
"Waitemata Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|123|
"Waitemata Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|45|
"Waitemata Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|42|
"Waitemata Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|12|
"Waitemata Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|12|
"Whau Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|192|
"Whau Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|393|
"Whau Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|117|
"Whau Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|114|
"Whau Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|21|
"Whau Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|36|
"Albert-Eden Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|195|
"Albert-Eden Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|384|
"Albert-Eden Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|90|
"Albert-Eden Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|132|
"Albert-Eden Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|12|
"Albert-Eden Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|30|
"Puketapapa Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|159|
"Puketapapa Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|273|
"Puketapapa Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|63|
"Puketapapa Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|63|
"Puketapapa Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|15|
"Puketapapa Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|24|
"Orakei Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|288|
"Orakei Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|516|
"Orakei Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|120|
"Orakei Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|105|
"Orakei Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|21|
"Orakei Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|36|
"Maungakiekie-Tamaki Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|156|
"Maungakiekie-Tamaki Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|282|
"Maungakiekie-Tamaki Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|69|
"Maungakiekie-Tamaki Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|81|
"Maungakiekie-Tamaki Local Board Area"|"Object to answering"|"85-89 years"|"Male"|"2018"|21|
"Maungakiekie-Tamaki Local Board Area"|"Object to answering"|"85-89 years"|"Female"|"2018"|33|
"Howick Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Male"|"2018"|375|
"Howick Local Board Area"|"Total people - with at least one religious affiliation"|"85-89 years"|"Female"|"2018"|627|
"Howick Local Board Area"|"No religion"|"85-89 years"|"Male"|"2018"|165|
"Howick Local Board Area"|"No religion"|"85-89 years"|"Female"|"2018"|171|
